,product_name,price,url,location,bet_end_date,img_source,popularity,id,department,scraped_at
26,LIXEIRAS DE PLÁSTICO DIVERSOS E CARRINHO P/ SERVIÇOS GERAIS (APROX. 136 PÇS) (Ref.: RBP),"R$ 1.500,00",https://www.superbid.net/oferta/lixeiras-de-plastico-diversos-e-carrinho-p-servicos-gerais-aprox-136-pcs-ref-rbp-2707422,Santo Antônio dos Lopes - MA / Maranhão,2023-04-13,https://ms.sbwebservices.net/photos/38d40c34-fe4f-4672-ae29-0f047f4100a1.jpg?w=295&h=190&slice=true,83 Visitas,2707422,eletrodomesticos,2023-04-09 23:35
27,LAVADORA ALTA PRESSÃO - WAP,"R$ 1.650,00",https://www.superbid.net/oferta/lavadora-alta-pressao-wap-2716449,São Bernardo do Campo - SP / São Paulo,2023-04-11,https://ms.sbwebservices.net/photos/ff33339d-0565-41d5-b75b-a66f3efbcd0a.jpg?w=295&h=190&slice=true,2 Participantes • 2 Lances,2716449,eletrodomesticos,2023-04-09 23:35
28,"DESINFETANTE, CLORO ORGANICO, ELIMINADOR DE ODORES, PASTA PARA LIMPEZA, DETERGENTE,, AMACIANTE E OUTROS (APROX. 265 PÇS)  (Ref.: 64786 / G4)","R$ 1.690,00",https://www.superbid.net/oferta/desinfetante-cloro-organico-eliminador-de-odores-pasta-para-limpeza-detergente-amaciante-e-outros-aprox-265-pcs-ref-64786-g4-2706900,Embu das Artes - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/62c4d7a1-0c0c-43f8-aabb-90da33432d25.jpg?w=295&h=190&slice=true,7 Participantes • 11 Lances,2706900,eletrodomesticos,2023-04-09 23:35
29,COSMÉTICOS DIVERSOS (APROX. 904 PÇS) (Ref.: 63613),"R$ 1.800,00",https://www.superbid.net/oferta/cosmeticos-diversos-aprox-904-pcs-ref-63613-2706951,Embu das Artes - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/ae2deba8-9400-4441-bf69-5f4b7418b224.jpg?w=295&h=190&slice=true,4 Participantes • 5 Lances,2706951,eletrodomesticos,2023-04-09 23:35
30,"UTENSILIOS, COSMETICOS, ELETRONICOS E OUTROS (APROX. 444 PÇS) (Ref.: 63639)","R$ 1.900,00",https://www.superbid.net/oferta/utensilios-cosmeticos-eletronicos-e-outros-aprox-444-pcs-ref-63639-2706957,Embu das Artes - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/960e83c8-0237-41eb-8b2c-6bef29bf044e.jpg?w=295&h=190&slice=true,3 Participantes • 3 Lances,2706957,eletrodomesticos,2023-04-09 23:35
31,1 FOGÃO EM INOX/FERRO GRANDE  (7 BOCAS),"R$ 2.000,00",https://www.superbid.net/oferta/1-fogao-em-inox-ferro-grande-7-bocas-2716445,São Bernardo do Campo - SP / São Paulo,2023-04-11,https://ms.sbwebservices.net/photos/176b6de9-e900-4609-a5b2-018ef12c436d.jpg?w=295&h=190&slice=true,1 Participantes • 1 Lances,2716445,eletrodomesticos,2023-04-09 23:35
32,FORNO DE COZINHA INDUSTRIAL DUPLO A GLP EM INOX (Ref.: D44),"R$ 2.000,00",https://www.superbid.net/oferta/forno-de-cozinha-industrial-duplo-a-glp-em-inox-ref-d44-2711114,Itu - SP / São Paulo,2023-04-13,https://ms.sbwebservices.net/photos/aba3b351-1a22-4255-8b44-88962fa33bde.jpg?w=295&h=190&slice=true,26 Visitas,2711114,eletrodomesticos,2023-04-09 23:35
33,6 Evaporadoras de ar condicionado piso teto,"R$ 2.000,00",https://www.superbid.net/oferta/6-evaporadoras-de-ar-condicionado-piso-teto-2701386,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/0b8c6b8c-1a96-491d-90a6-abf319c58643.jpg?w=295&h=190&slice=true,73 Visitas,2701386,eletrodomesticos,2023-04-09 23:35
34,FREEZER METALFRIO VERTICAL MOD: VF 50 - TEMPERATURA De -18°C A -22°C,"R$ 2.200,00",https://www.superbid.net/oferta/freezer-metalfrio-vertical-mod-vf-50-temperatura-de-18degc-a-22degc-2718349,Americana - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/76d13cbd-404e-448a-8fb0-a4b6abb5b7f8.jpg?w=295&h=190&slice=true,29 Visitas,2718349,eletrodomesticos,2023-04-09 23:35
35,COIFA EM INOX GRANDE (EXC ESTADO) +  1 PIA EM INOX GRANDE,"R$ 2.200,00",https://www.superbid.net/oferta/coifa-em-inox-grande-exc-estado-1-pia-em-inox-grande-2716359,São Bernardo do Campo - SP / São Paulo,2023-04-11,https://ms.sbwebservices.net/photos/f916d3c9-a0de-46ee-bd7e-14bd1ad09541.jpg?w=295&h=190&slice=true,20 Visitas,2716359,eletrodomesticos,2023-04-09 23:35
36,FREEZER METALFRIO VERTICAL MOD: VF 50 - TEMPERATURA De -18°C A -22°C,"R$ 2.200,00",https://www.superbid.net/oferta/freezer-metalfrio-vertical-mod-vf-50-temperatura-de-18degc-a-22degc-2718350,Americana - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/1fe1c813-b000-4d4f-b04f-562b67c33e21.jpg?w=295&h=190&slice=true,18 Visitas,2718350,eletrodomesticos,2023-04-09 23:35
37,FREEZER METALFRIO VERTICAL MOD: VF 50 - TEMPERATURA De -18°C A -22°C,"R$ 2.200,00",https://www.superbid.net/oferta/freezer-metalfrio-vertical-mod-vf-50-temperatura-de-18degc-a-22degc-2718348,Americana - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/c492df84-3bc2-4135-a946-9b5194a77903.jpg?w=295&h=190&slice=true,1 Participantes • 1 Lances,2718348,eletrodomesticos,2023-04-09 23:35
38,FREEZER GELOPAR VERTICAL MOD: GLDF 570 - TEMPERATURA -23°C,"R$ 2.200,00",https://www.superbid.net/oferta/freezer-gelopar-vertical-mod-gldf-570-temperatura-23degc-2718346,Americana - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/bf075fb6-db72-4fa8-b3fc-6ff5e280b764.jpg?w=295&h=190&slice=true,37 Visitas,2718346,eletrodomesticos,2023-04-09 23:35
39,FREEZER METALFRIO VERTICAL MOD: VF 50 - TEMPERATURA De -18°C A -22°C,"R$ 2.200,00",https://www.superbid.net/oferta/freezer-metalfrio-vertical-mod-vf-50-temperatura-de-18degc-a-22degc-2718347,Americana - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/c6164ba2-752e-4c3d-a765-a313f3c25e83.jpg?w=295&h=190&slice=true,24 Visitas,2718347,eletrodomesticos,2023-04-09 23:35
40,Geladeiras e freezer,"R$ 2.500,00",https://www.superbid.net/oferta/geladeiras-e-freezer-2709952,São Paulo - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/4e327298-52f6-416e-bc94-0957a52edc3f.jpg?w=295&h=190&slice=true,120 Visitas,2709952,eletrodomesticos,2023-04-09 23:35
41,"FORNO ELÉTRICO, MICROONDAS, LUMINÁRIA E OUTROS (CONFORME LISTA) (Ref.: 63910)","R$ 2.500,00",https://www.superbid.net/oferta/forno-eletrico-microondas-luminaria-e-outros-conforme-lista-ref-63910-2706742,Embu das Artes - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/d834dc62-7885-4053-bb42-8dbef1f47db3.jpg?w=295&h=190&slice=true,2 Participantes • 2 Lances,2706742,eletrodomesticos,2023-04-09 23:35
42,3 GELADEIRAS REFRIGERADAS,"R$ 2.500,00",https://www.superbid.net/oferta/3-geladeiras-refrigeradas-2716443,São Bernardo do Campo - SP / São Paulo,2023-04-11,https://ms.sbwebservices.net/photos/ff62aab1-65ad-48a4-b515-ee970e5520cc.jpg?w=295&h=190&slice=true,35 Visitas,2716443,eletrodomesticos,2023-04-09 23:35
43,COSMÉTICOS DIVERSOS (APROX. 1122 PÇS) (Ref.: 63610),"R$ 2.700,00",https://www.superbid.net/oferta/cosmeticos-diversos-aprox-1122-pcs-ref-63610-2706950,Embu das Artes - SP / São Paulo,2023-04-10,https://ms.sbwebservices.net/photos/b54f2d59-5b92-422a-8367-19507eeed3e8.jpg?w=295&h=190&slice=true,4 Participantes • 5 Lances,2706950,eletrodomesticos,2023-04-09 23:35
44,"Maquina de lavar, fogão, botijão, refrigerador, micro-ondas, cômoda, televisor e 2 camas","R$ 2.772,69",https://www.superbid.net/oferta/maquina-de-lavar-fogao-botijao-refrigerador-micro-ondas-comoda-televisor-e-2-camas-2688160,Brodowski - SP / São Paulo,2023-05-18,https://ms.sbwebservices.net/photos/17ef42d0-3a70-4de2-9827-b1ece8cc6b48.jpg?w=295&h=190&slice=true,386 Visitas,2688160,eletrodomesticos,2023-04-09 23:35
